GPOName,Path
DoD WinSvr 2022 MS STIG Comp v1r3,C:\July 23 DISA STIG GPO Package 0607\DoD WinSvr 2022 MS and DC v1r3\GPOs
DoD WinSvr 2022 DC STIG Comp v1r3,C:\July 23 DISA STIG GPO Package 0607\DoD WinSvr 2022 MS and DC v1r3\GPOs
DoD WinSvr 2016 DC STIG Comp v2r6,C:\July 23 DISA STIG GPO Package 0607\DoD WinSvr 2016 MS and DC v2r6\GPOs
DoD WinSvr 2016 DC STIG User v2r6,C:\July 23 DISA STIG GPO Package 0607\DoD WinSvr 2016 MS and DC v2r6\GPOs
DoD WinSvr 2016 MS STIG Comp v2r6,C:\July 23 DISA STIG GPO Package 0607\DoD WinSvr 2016 MS and DC v2r6\GPOs
DoD WinSvr 2016 MS STIG User v2r6,C:\July 23 DISA STIG GPO Package 0607\DoD WinSvr 2016 MS and DC v2r6\GPOs
DoD OneDrive for Business 2016 STIG Computer v2r3,C:\July 23 DISA STIG GPO Package 0607\DoD Office System 2016 and Components\GPOs
DoD OneDrive for Business 2016 STIG User v2r3,C:\July 23 DISA STIG GPO Package 0607\DoD Office System 2016 and Components\GPOs
DoD Microsoft Edge STIG Computer v1r7,C:\July 23 DISA STIG GPO Package 0607\DoD Microsoft Edge v1r7\GPOs
DoD Mozilla Firefox STIG v6r5,C:\July 23 DISA STIG GPO Package 0607\DoD Mozilla Firefox v6r5\GPOs